overall,reviewText,summary
2,The fabric feels bver nice and sturdy . However this shirt feels 2 sizes to small. Very tight very short . Sleeves and collar not very thick . I wear a large and it feels like a small,The fabric feels bver nice and sturdy
2,"pretty dress.  Designed poorly for normal, healthy sized women.  Well, perfect if you are a stick.","Good concept, bad design"
2,It seems as a copy,Two Stars
2,"doesn't fit my ear . too big, ???????",Two Stars
2,the watch stopped working the first day worn - second hand stopped moving,Two Stars
2,"Larger and a much ""heavier"" material than the one I ordered from another company.  Not as nice but sort of wearable  :(","Larger and a much ""heavier""   :("
2,I had higher expectations of BOC sandals. For the price I am definitely disappointed.,For the price I am definitely disappointed.
2,The fit was as expected. What was VERY disappointing was the decals were iron-on and all wrinkled. It can't be flattened out. Looks like it was done in a hurry. Disappointed.,Disappointed in deval application
2,"They fit great but since they stretch, they become somewhat see-through once they are on.  I will be returning them.",They fit great but since they stretch
2,Smaller than expected and fit a bit strange.  Had to return.,"Meh,"
2,"Not as good as the older model.  I like the pocket, but doesn't support the girls as much as the version a few years ago did",Not as good as the older model
2,Only got to wear these sandals twice before they broke! The metal clasp broke off the sandal. Really wish they were better quality cause I loved the style!,Really wish they were better quality cause I loved the style
2,I really like the wallet but the quality is not there. The wristlist didn't even 8 months before it broke off my wrist and fell in a parking lot. Needs stronger metal.,I really like the wallet but the quality is not there
2,They are ok. Would perfer something else.,Two Stars
2,Really sexy looking but they don't stay up.,Two Stars
2,Wasn't  true  to size.,Wasn't true to size.
2,the quality of these earring were not what I expected.... I realize they are inexpensive but I hoped they would be a little different.  I got quite a few pairs so they are a good buy.,Not what I expected
2,V-neck was way too low.  Altogether not a good shirt.  Returned it.,Altogether not a good shirt. Returned it
2,"Ordered this in medium (I'm 5'4"", 130lbs) and it was like a gigantic sack. Unfortunately this did not work for me at all, and the fit was completely different from what I expected from the product picture :(","Runs large, very large."
2,"Wanted it to work, different fit for rockport",Two Stars
2,So so,Two Stars
2,way under sized- very narrow,Two Stars
2,Not the whitest in color,Two Stars
2,This came really fast but it pulls the hair on my arm so i don't even want to wear it anymore,This came really fast but it pulls the hair on ...
2,"I sent these back. They were too narrow for my feet. My feet are not super wide, just average. They did not feel like they would stretch out over time.",Too stiff and narrow.
2,"This was supposed to be a gift, but I did not give it to the person because it felt cheaply made. I don't expect real silver with the price, but I did expect a bit more weight to it and the center ring not to be so fake. It felt like a really cheap plastic. Dissapointmented.",Plain and not worth the price
2,"After a long and exhaustive search, I found this nice looking pair of Skechers shoes for my husband who has wide, sensitive, and diabetic feet. I loved these shoes (and was sure he would too, as if that's important;), and so purchased them for more than $50.00. They arrived in a timely manner as is consistent with Amazon.

He did like them at first sight but loved them at first wear. ""These are the most comfortable shoes I've worn in a long time."" They sat by his chair and he used them for the house, garage, yard, and trips to the store. He thoroughly enjoyed them for almost two months. One day he said, ""Something is hurting my toe and I can't figure out what the problem is."" We investigated his foot. The toe looked good, skin and circulation good. Next we looked at the shoe.

The outside of the shoe was ok, no problems there. Upon close inspection of the inside of the shoe, we noticed a bunching of the fabric right over the spot where his toe was hurting. With use of light and a probe we discovered a small hole through the canvas to the outside of the shoe. That hole caused the material to bunch up and create a knot of material that rubbed against his toe, causing an area of",CAUTION BEFORE PURCHASE!
2,"Sent back, looked and fit terrible",Not good
2,they are what they are,Two Stars
2,Fell apart and rusted.,Two Stars
2,Fabric was thinner than expected and both the gray and the navy tank tops shrunk and are now too short to be comfortable. My previous experience with this brand was much better.,Not the best.
2,Didn't keep anything cold at all and when ice melted it totally leaked through the bottom of the bag. Returned.,Didn't keep anything cold at all and when ice melted ...
2,"The Shoe looks good.. just like the picture. But for me it didn't work. I ordered a size 8 because thats what I usually wear. The lenght was good but the width was terrible, way too narrow, I couldn't fit my food on it without Hurting me. Its a weird-made Shoe. I have an old vans of the same size and its wicked good, but this one is awful. I had to return it.",I had to return it
2,Cheap pair of sandals sent back,Two Stars
2,My petite 13 year old daughter wanted this shirt. We ordered a ladies small and it is way too small on her. She can't wear it. She is quite disappointed. We should have returned it.,She is quite disappointed. We should have returned it
2,It lasted for 6 months then the zipper stopped staying together and it separates constantly. Bummer.,Two Stars
2,Not good quality,Two Stars
2,We seem to be well made but they are too small!,Too small!
2,Very small fit. Very spandex-y. Cheap looking,Two Stars
2,"Followed the instructions, ordered by measurement based on the fit of my own clothes, but the measurements of these don't match what's in the supplied size chart image OR what's supplied in the description (which are different for some ridiculous reason). I guess I can wear this with a waist cinch, but I'd rather they just provided accurate information in the first place.

So if you'd like the ACTUAL measurements for an XXL look no further (measured laid flat with no stretching):
Armpit to armpit: 19in
Waist: 18in
Length (front): 22in
Length (back): 28in",Much too large.
2,Very tight leg and at least one size too small. Fabric is rough.,Not for curvy figure s
2,It's too big,Two Stars
2,Columbia jacket good if not very tall.  Way too short for me I'm 5 feet 9,Two Stars
2,"This suit is very very cheap looking and poorly made. The ruffles that hang off the top are way too big, it doesn't even look good on. Also going off the other reviews I ordered a large and it was way too big on the bottom. Swimsuits should be able to bought in separate pieces",it doesn't even look good on. Also going off the other reviews I ...
2,I get one with low price from other website it is [...] with warrant one year,Two Stars
2,I normally wear a mens size 3x. I purchased this to replace a hoodie I have had since I was pregnant with my oldest (who is now 14). I called it Old Faithful. It was a 3x but falling apart.  I purchased the 5x expecting it to fit oversized. Not so much. Its tighter than Old Faithful ever was. Is it comfy? Absolutely. But its WAY off in sizing.,Runs small
2,"I like the large easy to read display.  However, I can't trust the time on this watch.  For some reason the time and date keep changing.  The only reason I can think of is because the buttons keep getting pushed accidentally as I doing normal activities around the house.  For two days in a row, the day of week changed in the afternoon.  Then today, I noticed that the time was off by an hour, but the day of week is now correct.  I have the time zone set correctly, so that's not it.",Buttons get pushed accidentially and changes the time
2,"These shoes look great and I had high hopes. Unfortunetly, The 7.5 (my regular size) was too tight and the 8 was too large. Don't seem true to size. The uppers in the shoe were also rough and rubbed on the top of my foot.",These shoes look great and I had high hopes
2,"I gave this watch a higher score I was in love when it arrives, looks so pretty.  Unfortunately, afrer about a month, it stopped working, that's it!  I don't have a watch now, so next time  i wiil trust a brand I know and pay more. ",XOXO WATCH
2,"Great style terrible quality.

After the 4th time wearing them, the glue where the shoe bends (ball of the foot) has separated. It's been getting progressively worse. While converse have never been the most comfortable shoe, in my opinion, these are little more than hard rubber, glue and cheap canvas.",The 90's are gone and it took quality with it.
2,"Bought this for my husband. From the start I ordered the dark ones, because my husband only likes dark colors when it comes to underwear, but what I actually received was black, bright blue, and bright red. A medium should have fit perfectly with room for him to move around, but these really clung to him and left him complaining, not to mention he really hates the 2 brightly colored ones. So he only wears these when he absolutely has to. Needless to say we were both disappointed.",Needless to say we were both disappointed.
2,"The socks were great colors, soft, and the gripping bits on the heels were large and effective. I wear a size 9 shoe, and these go on my foot, but put just enough stress on my toes that they are painful by lunch. I had to give them away. :(","The socks were great colors, soft"
2,I have other birks that are small so I ordered next size up and they are to big,Two Stars
2,These earrings look better on the website. The hook on the back is terrible. They are extremely hard to hook. I couldn't even open the wire to get the earrings on.  On the front the top design is rough and catches on your clothes. The actual wing is nice but that is the only part of the earrings that is. I guess for the low cost for 14k earrings  you can't expect to get much. The wings should be on lever back instead of this thin wire that you have to try and hook to a clasp on the bottom. That wire back catches on everything and you can not sleep in them since they cut into your neck. When trying to close the earrings the wire started bending . I would not recommend these earrings if you expect to wear them everyday.,These earrings look better on the website
2,"This was supposed to be a size 7.  Our child is currently a size 6 and it is tight on her, had to return and order a size larger at my expense, disappointed.",Disappointed with size
2,Eas,Two Stars
2,"The button is WAY, WAY, WAY SMALLER than pictured!!!  It's smaller than the size of a U.S. quarter -- more like a nickel.  Product arrived timely.",Size matters
2,Bought a large. Top was too big and Bottoms too small. Haven't even wore it yet this year. Took way longer to receive than expected.,Bought a large. Top was too big and Bottoms ...
2,"The boot is nice and flexible. However, there is no filling or fur in foot area so your foot keeps rubbing against the shoe's inner wall foot area. Even shoe laces are tied snuggly, foot area is still very lose, so shoes shuffling sounds are audible. Embarrasing.",the shoe
2,"Had to have it tailored quite a lot (bring in the waist and boob areas, as well as shorten the length), which was expensive due to the design of the dress.",Will likely need to tailor
2,"Based on other reviews I had zero expectations for this jacket, so I'm not disappointed.  Summary: looks cute, quality is poor but in line with the price,  shipped quickly, received the wrong size, terrible odor.

For $10 the style is cute and quality is no worse than what you'd find at a liquidation type store for the same price. It was purchased with the intention of being a make believe dress up outfit (rock star) so I don't really care about the flaws in workmanship since it won't leave the house.

We have the same unfinished lace and hanging threads as others report, but this isn't high fashion so it's to be expected. The sleeves are full length on mine, not the three quarters other mentioned.

Shipping was faster than expected and it arrived two weeks ahead of the earliest date in the range.

Ordered a 120 and received a 130. It's HUGE.

The biggest issue is the odor.  It's awful, like a mixture of sweat, livestock and fried food. I have a very weak sense of smell and it knocked me over from several feet away. I haven't yet decided if I'm going to try washing it out or cut my losses. I will point out that sellers have no control over what ends up beside their items on the ship.  Unless this complaint becomes a trend I will just consider myself the lucky winner of a stinky jacket from China.",Cute but smells awful
2,Returned shoes because they were too stretched out and would not stay on feet.,Two Stars
2,It seams that pants and hoodie are from different sets. They have different gray color.,Two Stars
2,"The tshirt fits well and is soft, but the print is not good quality and appears faded. It also was delayed twice and took nearly a month to arrive, nearly 2 weeks late.","Late delivery, colors not bright like pictuew"
2,2 of the sleeves had holes.  Not easy to get replace done or get money back.,Not easy to get replace done or get money back
2,It looks like uts supposed to except the straps are huge and the outfit fits funny,Two Stars
2,"Earlier we had purchased another shirt and the quality was outstanding.  We went back and ordered this one - there was a warning on the page saying to make sure you ordered from them... it was American Made.. not to get one from China.  Well, guess where this came from - CHINA.. it shipped from CHINA and was made in CHINA.  A lot thinner than the first.  This is not what they say it is.  Beware!
By Earth Sun Moon",Made in China / Shipped from China!
2,"Not presentable as a gift. First, the case it came with was so cheap-looking; it was covered with dull brownish paper with nothing written inside the top cover where a label is usually stamped. Although the bracelet itself was wrapped in a fitting clear plastic, its ends were touching the very ends of the length of the box, making it look like the box was tight for the length of the bracelet. The worst part for me was that it did not come with any paper describing the product so that the owner can appreciate what it's supposed to have. With an unusually extensive paragraph description of this product on the Amazon page featuring the bracelet, stating the endless benefits and therapeutic effects of the mineral stones the bracelet is supposed to have, I expected a paper insert with the same ""amazingly sounding"" paragraph description as on the Amazon page, but it came with no paper at all, no mention of hematite anywhere. One of the reasons I bought it to give as a gift for a college graduate was because I wanted the recipient to feel special when he reads about the special features of the item (ALL about the Hematite benefits/effects as claimed on your page) through a product feature insert. After all, the product looks really simple. Instead, it came in a rather tight rectangular, dull-looking, paper-covered, nameless box with a nameless product inside that came with no description, leaving the recipient wondering what it's made of, who is the maker, what number to call with product questions, or if there's anything special about it. It also came with a tiny link removal tool that's inside another cheap plastic case with a cellophane wrap which was scotch-taped to the bracelet case. At first sight, I thought it was a little toy. I asked myself, what is this little plastic thing taped randomly to the case? Those little toys that came with fast food Kids' Meals were more exciting in appearance. The little plastic thingie had no label either. On closer scrutiny, I noticed a tiny tool inside. The bad news again: no instructions on its use came with it. One can't assume that all recipients can figure out by themselves how to use a product SAFELY, without hurting themselves or ruining the product, if they've never even seen the product before. I was extremely disappointed, and I hope that the person I gave it to will not think that I could've done better with something from a flea market. The fact that it did not come with a product name/description makes me wonder if it, indeed, contains the titanium hematite stones described so lengthily online. With an original price of $150, I expected at least a product description insert and a presentable box. What it basically looks like is a nameless product in a cheap nameless box with a plastic thing taped to it.",Way below what I expected
2,"Very fake hair. but it didn't cost much, so not bad in the long run.",so not bad in the long run
2,It was just ok,Two Stars
2,Skinny fit,Two Stars
2,Good,Two Stars
2,"The colors are beautiful and I could see being able to wear it many different ways. So why did I returned it? There's an odd seam in the front, about 1/3 of the way from the left side seam. Maybe I got a defective one, but I had to return it.",Returned
2,"I bought a 4x, and I generally wear an 18/20. Although I could get it on, it wasn't flattering at all. It was extremely and unattractively clingy, and the empire waist stitching was in the wrong place. The stitching ran right across the bustline instead of under it. It just wasn't a good purchase. I gave it 2 stars because it was thicker than expected and overall it appeared to be well made, albeit incorrectly sewn.",Clingy and empire waist is incorrect.
2,"I am not sure how this would a fit a man, but it did not fit me, with an average size adult head ... feels more like a childs size, unless youo are looking for something that barely covers the top of your head ... did not look like that pictures at all ... maybe there is a way to stretch it out, I just sent it back",Child size hat
2,"I received the cross and it was slightly lopsided and now a pearl has fallen out...
Very disappointed...",I guess YOU get what you pay for...
2,"Cute suit, but way to small and I thought the straps were a bit flimsey as well.  Rather disappointed for a Jantzen swimsuit.",Not what I expected at all
2,Beautiful shoes...my big toe could not move and my heal hurt so I could not wear them,Two Stars
2,Not the quality I was hoping for,Two Stars
2,"Cheap fabric. Fit is wierd. Fits in shoulders,large around waist. Doesn't look like picture on photo.",Doesn't look like picture on photo
2,Fit was not in American size.  I love the coat but the fit didn't work.  It was too costly to send back.,Disappointed
2,"This is a nice top except that you can see right though it, I returned it.",Two Stars
2,I think the earrings are very pretty but am having a difficult time getting them on.  The back is too thick and difficult to get in.,I think the earrings are very pretty but am having a difficult time getting them on
2,not a lot of support,Two Stars
2,"I love NYDJ dresses for several reasons; however, the material of the lace of this dress was not very classy.  This was a great price but other than that, ended up returning it.",Not as good quality as other NYDJ dresses
2,Logged shabby real fast and began falling apart.,Don't buy
2,"I hadn't realized it that there were two parts to the back; a regular earring ends, and then a clear plastic end to stop the other one from slipping off. The metal also bends easily, and makes it hard for someone like me who doesn't wear earrings often to put them in.","The metal also bends easily, and makes it hard for someone like me ..."
2,I have a small waist but these shorts run pretty small in the waist and the belt seemed to be too large for how small the waist is.,I have a small waist but these shorts run pretty small in the waist and the belt seemed to ...
2,Disappointed with this shirt; very thin with poor quality print.,Poor quality
2,Very thin,Two Stars
2,too big,Two Stars
2,Extremely tight and very constricting feeling compared to most magic suits - cute style but not for larger size than about an 8 which would probably fit about a size 4-6 in reality- pretty green color,... would probably fit about a size 4-6 in reality- pretty green
2,Shirt was wide and short. Not proportioned properly.,Too short
2,"I had high hopes to be able to wear this on an upcoming cruise. But...it's too tight and way too long. I got XL, 36"" waist, 200 lbs and 5'8"". And it was still too small. ",Didn't work for me.
2,"It was Huge. Not scarf material, more like a wrap around piece.",more like a wrap around piece
2,The jeans were cute but zero stretch so they were too small,No stretch
2,sizes run way too small and had to return the large as it did not fit a petite lady,Two Stars
2,"Rough material, Not sized at all for a newborn as pictured (and I have a very large newborn---10 lbs).",Two Stars
2,Cute outfit and seems good quality BUT there's an inner soft layer that doesn't stretch much so it fits smaller than expected. I had to return it because it didn't stretch enough to get it over her head.,Cute but no stretch so too small!
2,"I ordered the pretty floral but I got a crazy leopard print.  They also arrived a day later than promised.
I am keeping them because I can't be bothered to return them. The slippers are for walking on warmish, carpeted floors. On my cold, wood floors they are not adequate but will be OK as the weather warms up.",Not what I ordered
2,Nice but very small fit,Two Stars
2,"Not a good fit, cheap material and did not come with the shawl as advertised",Two Stars
2,Poorly made. Toe holes were too small.,Two Stars
2,"Looks cute and stylish. I think this style runs super small. I generally wear a size six with lots of socks. With one pair of thin socks on, my toes were all curled up.",I think this style runs super small. I generally wear a size six with ...
2,I bought this bag as a gift for my girlfriend living overseas. I ordered it with one day delivery so my mom can bring it with her as she will be vacationing to our home country in a few days. I was so dismayed when I finally opened the package because the leather straps and handles were moldy!! I couldn't even touch it so I had to wear gloves. I'm so disappointed because if I return this and have it exchanged then it will be too late for my moms flight..,Disappointed! Leather straps were moldy!!!
2,It was to wide of a fit shoes slipped off. Would love if it came in a narrow fit,Would love if it came in a narrow
2,"Maybe good for someone with thin arms, but they fit very snug and I was looking for something like you see on ""Downton Abbey"".  Couldn't wear them, but did receive them quickly and were packaged very well.",Maybe good for someone with thin arms
2,This was a 2x and fit like a medium.  Sending back.,Bad sizing.
2,The shirt is oversized and the print is not very good and looks like it will come off soon. I was hoping for better quality.,... shirt is oversized and the print is not very good and looks like it will come off soon
2,"I thought the suede was cheap looking on these shoes.  Surprising for Donald Pliner.  Also, they are not comfortable to my feet.  Too much of an incline without any kind of false platform or decent padding in the foot bed near the ball of the foot.  I did not want to wear them around the house to try out.
And, they ran a little long for the size.  I rarely find my true to size too big and these looked/felt like boats on my feet.  Not a good look.",they are not comfortable to my feet
2,Do not look like the color in the picture. Not what I wanted.,Two Stars
2,These shorts run small and roll up the leg.,Hoped for better fit
2,"Pretty colorful dress but I found there was too much material below the waist.  It was not flattering, just seemed like wearing a sack.  Too bad because I like this designer and it was def. a good bargain. Had to return it.",Too much material makes it unflattering
2,"At first glance, the quality appears to be good, however I haven't washed them yet. I was disappointed with the length of time it took to receive them. Apparently they came from China so it took several weeks to arrive. Considering they came from China they were overpriced!",Overpriced
2,"This hat seems well made but the description as ""one size fits"" all is not accurate.
I do have a small head for a man my size but it would have to be a pretty large woman for this to be OK>",too big for me
2,It did not fit or look like I imagined.  I really do not like it.  I am giving it to goodwill.,I am giving it away
2,the 18/20 size is more like a 14/16,Two Stars
2,"I received these glassed last week.they are cute glasses,but I hated the fact that the letters were on there.you can't sell glasses like that.i didn't return them because I used a penny to try to get the letters off.it got most of it off,but it ruined them even more.it's very unfortunate because the glasses were actually pretty cute.the color and everything.they also were kind of small on my face.",but I hated the fact that the letters were on there
2,"I gave this watch 2 stars because it has potential. As the watch I have is now it is zero stars as it is faulty.

I saw Shark watches awhile ago on Facebook Ads. I liked the style but the price made me nervous. You can not buy a good brand new watch for $35.  A low end G Shock will cost $50.

I love the look of this watch. I love the big size and the ""black out"" look. This watch is even bigger than most of my Invicta watches. The hidden LED function is very cool. You can not tell this watch is LED just by looking at the face.

The problem  with this watch is it is cheap. It feels cheap. The band feels flimsy. The clasp feels like it is going to come apart after a few open and closes. It feels like something that is going to fall apart. Again though, this is a $35 watch so caveat emptor.

A design problem I didn't like is the LED lettering is terrible. You can actually see this in one of the pictures. The ""S"" in Saturday and Sunday looks like a 5 or a split ""S"". I could have lived with this if that was the only issue.

The watch I received has a similar problem that another reviewer had. The analog second hand swings freely and the watch doesnt keep time in analog mode. This seems to be a common failure with these watches. There are a few reviews I wish I had read about poor quality and the hands breaking.

If they made this watch better quality and charged a little more for the higher quality it would be a winner. The ad says it is  $79.99 watch for $35. Make it a true $80 watch and price it accordingly and you will sell more watches. As it is right now people are not going to buy another watch from you after getting the first one.

It has potential but it just is too cheaply made.",Good Looking but Cheap
2,"My 8 year old son is small for his age - usually wears a size 6 or 7 depending on the item.
He didn't like these at all as he said the crotch area was really uncomfortable.  We didn't even get a full pool day (2 hours) out of them and he changed.  Maybe it was just him, but he said the netting area was really uncomfortable and small and hurting him.",He didn't like these at all as he said the crotch area ...
2,"Little hoop part bends really easily, was damaged when I received it. :/ doesn't look or feel like sterling silver. Really cute earring but difficult to put in",Keeps falling out of my ear ):
2,"The banding was small and tight. The cups are also extremely hard and push into your skin. I bought it for the color and price, mainly. I wouldn't recommend it and only wear it when it's necessary.",I wouldn't recommend it and only wear it when it's necessary
2,Clingy fit and sort of itchy material. Not the best maxi dress I've purchased,Not the best maxi dress I've purchased
2,the design is wrong.  The waist and length fit differently.,the design is wrong. The waist and length fit ...
2,"These are nothing like the old Stance socks, so disappointed. They are thin and small. My old ones are thick and comfy.",Thin and small
2,"I REALLY wanted to like this backpack. I'll start with the positives. The design is very pretty. I also like that extra pocket on the other side of the bag near the straps for those extra things. Now, the negatives. The main zippered compartment does not zip all the way down. It stops about half way, which makes it really difficult to get items in and out of the backpack. I was willing to live with that, though. I was really excited about the two zippered pockets on the sides. After about two weeks of owning the bag, I noticed that the zippers were a little sticky; it was hard to get one zipper up and down. Well, that zipper finally broke today. This backpack is just poorly designed and made. I am so disappointed. I guess you get what you pay for, because I didn't pay too much for this backpack. I am now in the market for another backpack.",A Disappointing Backpack
2,"I bought a 3XL and it actually looks like a US L or XL, not even a XXL.  It was disappointing, the good out of this is that I have been loosing weight and will have a chance to use it in the not to distant future.",I bought a 3XL and it actually looks like a US L or XL
2,It looks ugly in person.,Two Stars
2,Cheap..,Two Stars
2,Cute.  Got for vacation in Orlando.  Within 4 days post are starting to rust/corrode.  We have worn then non stop swimming/parks.  We will go back to wearing Blomdahls.  Much better for kids.,Much better for kids
2,Returned the product.  NOT at all what I expected.  Fabric or quality.,Returned the product. NOT at all what I expected ...
2,Extremely bigger then it supposed to be. I bought a 6mo probably my baby will fit when is 12mo. Very big.,Extremely bigger then it supposed to be. I bought ...
2,Soft no sole. Small,Two Stars
2,Very thin fabric,Two Stars
2,"The color is nice and great that additional spring bars were included. However, everything else fell a little short to be honest. Rough stitching near the buckle area. The hardware on the strap feels mediocre.",The color is nice and great that additional spring bars were included
2,Returned it,Two Stars
2,Nice looking boots. They fit just like other Cole Haan shoes (point is they fit as expected). The problem that I have with these boots is that the sole is super smooth and EXTREMELY slippery. You have to be super careful when wearing these boots so as to not slip and break your neck.,Very slippery soles
2,"I was so excited to get my new shoes but when they arrived it was 2 different shoes in the box. I did try on the one Cosmic Boost that was in the box and I think it's going to be a great shoe. However the shoe was a little small, so I re-ordered it 1/2 size larger. Hopefully when this shipment arrives I will have matching shoes",Mix Match Shoes
2,too small,Two Stars
2,Lleg sucio. Mala experiencia,Two Stars
2,The logo was smaller than the picture and was faded and not as white as it looks,Two Stars
2,"cheap & too small, not nice at all",not nice at
2,"I love these shirts and have maybe 10.
This one...  This one looks like bird doo all over it.  I'm both horrified and humored by it.  Absolutely like bird splatter.  Ugh.",Birds made it?
2,"I wore this on my vacation since it looks close to my real ring and didnt' want to worry about my new engagement ring. This worked for the week, but the side stones all fell out and it fogged up quick. It served its purpose, but I can't use it again.",It's okay for vacations
2,"HAd to return it. According to the directions the crown should screw into the case, This helps water resistance. In my case the crown was free wheeling and never was tight, I could not screw it tight,  Everything else about the watch I liked",Defective?
2,Too boxy for my petite frame.  I also like a more cut out arm hole than this had. The stretch was nice however.,I also like a more cut out arm hole than this had
2,too big for my face,Two Stars
2,gave it away not what it seems,Two Stars
2,Tares easily,Two Stars
2,"I love these shoes.  Cute, comfortable and great to wear.  They had 5 stars at first.  BUT after about a month of wearing them, the patent leather has cracked on the seams.  I'm very disappointed as these were my go to shoes for fall.  I guess I need to reach out to Sanita to see what they can do.",Cute shoes but falling apart after a month
2,"Unless you like showing your booty, these are too low. Now I understand why I see young women constantly pulling there jeans up, they barely fit at hip if you have any extra weight, so you would have to keep pulling them up to keep from showing your butt crack. Otherwise they are cute jeans just not on.",Rides too Low
2,The decal was not very good quality and very stiff. I foresee this as fading or cracking after a couple of washes. I could do a better job myself buying a decal and ironing it on.,The decal was not very good quality and very stiff
2,I bought these for my just turned 4 year old grandson who is average size.  I washed them in cold water and he tried them on and complained about them being too tight.  They are more like a size 2T.,Too Small and Tight for 4T
2,ok,Two Stars
2,The shape and quality of this umbrella met my expectation. I was a little disappointed with the open diameter of the umbrella when in use. I found the coverage to be too narrow.,Narrow miss
2,"Not stretchy, shrinks after one wash :/",Two Stars
2,Tool broke right off the bat,Two Stars
2,Only folding & not packable into it's own pouch.,Folding & not into pouch
2,"Normally wear 3X so ordered 5X to wear over heavy shirt or light jacket. Way too small, would not even fit ladies XL wife. Looked well made, nice heavy denim. Returned and ordered 7X.  7X still does not have enough room for clothing under pt but fits over light shirt.",nice heavy denim
2,"Nice material, fast shipping. But was somewhat too small so I had to return it.",Two Stars
2,Picture was prettier than the actual ring.,Two Stars
2,short,Two Stars
2,"Thin, cheap feeling",Two Stars
2,"These were cute, but no adjustable and didn't fit my feet. I wear a size 6.5 and the strip on the top that connects the ankle was too long. I had to return them.",Not Adjustable
2,Uncomfortable - too narrow and stiff,Uncomfortable
2,Good quality but way to big. Didn't look that big in the picture.,Two Stars
2,"The pajamas are cute and soft, but they are so small!  I bought 2T thinking my son would fit into them next winter.  When they arrived they were smaller than the 18m pajamas he wore last winter.",Way too small
2,The skirt was a very transparent.,Two Stars
2,"The shoe itself was comfortable enough, the the small cut-out for the toes is WAY too small and doesn't give at all.  After one wearing, I had cuts and blisters all over my toes.  Haven't worn them again.",Uncomfortable
2,"It's comfy, soft material. I wear it around the house because for me it needs to be longer. I ordered the 3X. Fits more like a juniors 3X. I like it tho.",I like it
2,not as I expected.  the dress looks like something you could get at a discount shop.,the dress looks like something you could get at a discount shop
2,"I typically wear the Mid-Bridger and decided to try Obozs' new Mid-Scapegoat. The fit was comfortable;  but after one hike I decided to return them. My feet felt unstable and the sole felt very flimsy, not all what my feet had become use to. In addition, toe box did not feel durable at all. Nice loping show but if you're planning on hiking in rugged terrain I would definitely avoid this new line of Oboz footwear.",The fit was comfortable; but after one hike I decided to return ...
2,"Thought it was a good deal on sale. Find it hard to believe these are real leather and you can see the glue around the seam. On sale at such a low price, will keep them though. Usually Hush Puppies are much better quality.",Leather?
2,"I bought this watch so that Id have a nice watch to wear with nice clothes rather than my sports watch.  I saw this on Rachel Ray show and just decided to go for it based on her recommendation.  The watch has a pretty face but overall it is extremely lightweight, thin and feels really cheap. The band actually makes annoying metal on metal noises while wearing.  You can adjust the size by taking out links but it is difficult to get just the right size. So mine spins around my wrist and digs into the top of my hand.  But taking out another link would make it impossible to close the clasp.  Therefore, because of all of this, I think it is overpriced as it seems to be the same quality as other $20-$40 watches.  I was so disappointed with my purchase and couldn't return it because of course I took out a few links. I will never by Skagen again as a result of my experience.",Dont buy unless youve seen it in person and really know you want it!
2,too small for me,Two Stars
2,i used Puma shoes for couple of years. So I decided to give Nike a try. After 4 months from buying this shoes i can say Im kind of disappointed. The shoe is not as light and comfortable as it should be. I give it 2 stars.,2 stars more than enough
2,It did not look like the pic,Two Stars
2,Cute dress but the color was NOTHING like the photo. The dress we received was dark purple and dark blue- no pink or teal anywhere on it.,Cute dress but the color was NOTHING like the photo
2,I didn't realize these were crop pants.,Two Stars
2,"I like this loose, natural fabric, unconstructed look. However, when I got mine, I saw it's SO not worth $45.  Really loose weave of the fabric, not flowy, and would not stand up to much wear.  I'm 5'8"".  Perhaps that makes a big difference but the sleeves on mine were not at all close to what's pictured.  Mine were barely little cap sleeves and the arm hole was somewhat tight.  I do like the style and construction of garments from this manufacturer and have several of their pieces. I appreciate how specific they are with their sizing on Amazon. This one just did not work for me.  Perhaps if you're petite it would work.  It absolutely would have to be hand washed.  Had to return.",LIKE MORDENMISS BUT NOT THIS PIECE
2,It did fit was to small,Two Stars
2,"I bought this as a Mother's Day gift. My mom received it with maybe 10 'leaves' on it, NOT AT ALL what the picture shows. Very disappointed.",Disappointment
2,"Very long, great if you are tall. but not for short people.",great if you are tall
2,Looked cheap and terrible on,Two Stars
2,I bought this for my mom and she wore it every day until the pearl just fell off. I'm super disappointed. I'm only giving it two stars because it was beautiful while it lasted,I'm super disappointed. I'm only giving it two stars because ...
2,"Nice design, but I couldn't stand the graphic; I could feel it through the shirt as rough and scratchy.",Okay
2,The silver coating rubbed off after a couple weeks.,Silver coating rubbed off
2,"For the most part I'm not a picky guy. But I am about my hats. I am a retired Marine, I like a nice crisp clean hat, unless of course it's my designated work hat. This hat was poorly packaged. In a bag? Seriously? I opened the plastic bag to find the bill of the hat all distorted and bent. Even if it were not bent up, It still falls short of my expectation. The hats dome portion is undersized. It is small in relation to the bill. Just looks weird. Hat guys know what I'm talking about. I won't send it back, price low enough to just keep. It will just go into my ""work hat"" rotation. To bad, because the logo is actually quality.
Contacted seller. Will update on response.","Packaging fail, and small dome."
2,One of the reasons I ordered these socks is that 3 pairs were promised - read that in the question/answer section. I received one pair...NOT AT ALL PLEASED AT BEING MISLEAD,MISLEAD
2,"welllllllllll.  The color is great- a slightly lavender grey.  After I picked off the larger, more pole-dancer rhinestones off the back pockets, I thought they were pretty good.  They fit quite well.  The cut is nice. The problem is their walking issue.  With each step, the legs crawl toward one's ankles. I suspect it has to to do with the particular fabric, which is otherwise fine.  So I walk twenty steps, and need to pull my pants up.  Not my idea of a new dance craze.",I thought they were pretty good. They fit quite well
